address,c_b_no,Borough
150-01 89 AVENUE,412,QUEENS
193 EAST  205 STREET,207,BRONX
1643 1 AVENUE,108,MANHATTAN
283 WARWICK STREET,305,BROOKLYN
1251 60 STREET,312,BROOKLYN
43-27 BYRD STREET,407,QUEENS
41-14 31 AVENUE,401,QUEENS
28-16 42 ROAD,402,QUEENS
43-21 52 STREET,402,QUEENS
130-10 LIBERTY AVENUE,410,QUEENS
202 TILLARY STREET,302,BROOKLYN
251 EAST   77 STREET,108,MANHATTAN
3184 WEBSTER AVENUE,207,BRONX
5123 BEACH CHANNEL DRIVE,414,QUEENS
37-27 12 STREET,401,QUEENS
844 BEDFORD AVENUE,303,BROOKLYN
2704 CRESTON AVENUE,207,BRONX
36-08 24 AVENUE,401,QUEENS
88-06 161 STREET,412,QUEENS
31 BRIGHTON    2 PLACE,313,BROOKLYN
143-33 95 AVENUE,412,QUEENS
760 MADISON AVENUE,108,MANHATTAN
28 MIDDLETON STREET,301,BROOKLYN
1258 SHAKESPEARE AVENUE,204,BRONX
1647 1 AVENUE,108,MANHATTAN
2710 CRESTON AVENUE,207,BRONX
908 KENT AVENUE,303,BROOKLYN
152 WEST  136 STREET,110,MANHATTAN
250 WEST   49 STREET,105,MANHATTAN
292 EAST  149 STREET,201,BRONX
1940 TURNBULL AVENUE,209,BRONX
432 THATFORD AVENUE,316,BROOKLYN
47-58 43 STREET,402,QUEENS
1366 CROMWELL AVENUE,204,BRONX
2384 ATLANTIC AVENUE,316,BROOKLYN
1001 GUN HILL ROAD,212,BRONX
1649 1 AVENUE,108,MANHATTAN
43-25 BYRD STREET,407,QUEENS
243 EAST  202 STREET,207,BRONX
2712 WILLIAMSBRIDGE ROAD,211,BRONX
405 PARK AVENUE,105,MANHATTAN
42-11 30 AVENUE,401,QUEENS
437 2 AVENUE,106,MANHATTAN
1665 JEROME AVENUE,205,BRONX
161-17 43 AVENUE,407,QUEENS
375 SMITH STREET,306,BROOKLYN
1131 EAST  211 STREET,212,BRONX
140 HILLSIDE AVENUE,112,MANHATTAN
147 STANHOPE STREET,304,BROOKLYN
140 CENTRAL AVENUE,304,BROOKLYN
4641 FURMAN AVENUE,212,BRONX
300 EAST   83 STREET,108,MANHATTAN
71 WEST  205 STREET,207,BRONX
66 WEST  119 STREET,110,MANHATTAN
1222 PUTNAM AVENUE,304,BROOKLYN
3831 CARPENTER AVENUE,212,BRONX
38 SKILLMAN AVENUE,301,BROOKLYN
817 45 STREET,312,BROOKLYN
276 BEDFORD AVENUE,301,BROOKLYN
20-22 COLLEGE POINT BOULEVARD,407,QUEENS
1894 CONEY ISLAND AVENUE,312,BROOKLYN
311 BERGEN STREET,302,BROOKLYN
181 EAST  109 STREET,111,MANHATTAN
98-87 QUEENS BOULEVARD,406,QUEENS
194 30 STREET,307,BROOKLYN
524 VERMONT STREET,305,BROOKLYN
624 AVENUE H,314,BROOKLYN
31-20 30 STREET,401,QUEENS
85 GATEWAY DRIVE,305,BROOKLYN
65 STANHOPE STREET,304,BROOKLYN
144 NOLL STREET,304,BROOKLYN
807 WASHINGTON AVENUE,308,BROOKLYN
548 UTICA AVENUE,309,BROOKLYN
77 GATEWAY DRIVE,305,BROOKLYN
143-58 38 AVENUE,407,QUEENS
2926 BRIGHTON 5 STREET,313,BROOKLYN
461 WEST 125 STREET,109,MANHATTAN
4308 4 AVENUE,307,BROOKLYN
2081 ANTHONY AVENUE,205,BRONX
1522 1 AVENUE,108,MANHATTAN
167 MALCOLM X BOULEVARD,303,BROOKLYN
106-29 GUY R BREWER BOULEVARD,412,QUEENS
87 GATEWAY DRIVE,305,BROOKLYN
2041 53 STREET,312,BROOKLYN
181 EAST 121 STREET,111,MANHATTAN
5-29 47 ROAD,402,QUEENS
85-12 57 AVENUE,404,QUEENS
137 VARICK STREET,102,MANHATTAN
132-32 41 AVENUE,407,QUEENS
6317 FORT HAMILTON PARKWAY,310,BROOKLYN
94 EAST 208 STREET,207,BRONX
108-15 72 AVENUE,406,QUEENS
1654 BUSHWICK AVENUE,305,BROOKLYN
699 EAST    6 STREET,103,MANHATTAN
1163 RIVER AVENUE,204,BRONX
76 WEST  105 STREET,107,MANHATTAN
201 25 STREET,307,BROOKLYN
686 LEXINGTON AVENUE,105,MANHATTAN
150 EAST 91 STREET,108,MANHATTAN
813 KINGS HIGHWAY,315,BROOKLYN
134-11 FRANKLIN AVENUE,NA,QUEENS
408 LEFFERTS AVENUE,309,BROOKLYN
304 EAST 50 STREET,106,MANHATTAN
1701 CLAY AVENUE,204,BRONX
423 WESTCHESTER AVENUE,201,BRONX
1532 45 STREET,312,BROOKLYN
1115 DECATUR STREET,304,BROOKLYN
252 EAST 72 STREET,108,MANHATTAN
3802 WHITE PLAINS ROAD,212,BRONX
2175 RICHMOND AVENUE,502,STATEN ISLAND
36-22 31 STREET,401,QUEENS
2384 ATLANTIC AVENUE,316,BROOKLYN
65 4 AVENUE,306,BROOKLYN
622 WEST 51 STREET,104,MANHATTAN
30-43 31 STREET,401,QUEENS
37-34 33 STREET,401,QUEENS
2061 CROTONA AVENUE,206,BRONX
773 EAST  183 STREET,NA,BRONX
110 NORTH    1 STREET,301,BROOKLYN
1520 1 AVENUE,108,MANHATTAN
703 PROSPECT PLACE,308,BROOKLYN
150 NOLL STREET,304,BROOKLYN
5 NEW MONTROSE AVENUE,NA,BROOKLYN
322 EAST 100 STREET,111,MANHATTAN
1649 1 AVENUE,108,MANHATTAN
645 MADISON STREET,303,BROOKLYN
5-17 47 ROAD,402,QUEENS
16 WEST   45 STREET,NA,MANHATTAN
960 PROSPECT AVENUE,202,BRONX
558 WEST 161 STREET,112,MANHATTAN
20-47 NAMEOKE STREET,414,QUEENS
1215 1 AVENUE,108,MANHATTAN
11-12 154 STREET,407,QUEENS
1104 SURF AVENUE,313,BROOKLYN
1415 52 STREET,312,BROOKLYN
280 EAST HOUSTON STREET,103,MANHATTAN
5003 5 AVENUE,307,BROOKLYN
802 EAST 165 STREET,203,BRONX
1103 AVENUE N,314,BROOKLYN
79 GANSEVOORT STREET,102,MANHATTAN
36-43 31 STREET,401,QUEENS
322 GREENE AVENUE,303,BROOKLYN
1429 LONGFELLOW AVENUE,203,BRONX
24 BARTLETT STREET,301,BROOKLYN
169 EMPIRE BOULEVARD,309,BROOKLYN
733 58 STREET,307,BROOKLYN
160 EAST 125 STREET,111,MANHATTAN
229 WEST KINGSBRIDGE ROAD,208,BRONX
947 SHERIDAN AVENUE,204,BRONX
41 BLUE SLIP,301,BROOKLYN
80 FLATBUSH AVENUE,302,BROOKLYN
60 CEDAR STREET,304,BROOKLYN
1158 MCDONALD AVENUE,312,BROOKLYN
76 CONGRESS STREET,306,BROOKLYN
80 LINDEN BOULEVARD,317,BROOKLYN
2602 PITKINS AVENUE,305,BROOKLYN
1644 NEW YORK AVENUE,317,BROOKLYN
237 HALSEY STREET,303,BROOKLYN
482 SNEDIKER AVENUE,305,BROOKLYN
278 FRANKLIN STREET,301,BROOKLYN
4263 BROADWAY,112,MANHATTAN
255 EAST 39 STREET,106,MANHATTAN
2980 3 AVENUE,201,BRONX
155 WEST   29 STREET,105,MANHATTAN
447 VANDERBILT AVENUE,302,BROOKLYN
11 EAST 75 STREET,108,MANHATTAN
421 EAST   26 STREET,106,MANHATTAN
770 EAST 176 STREET,206,BRONX
50-43 97 PLACE,404,QUEENS
909 EAST TREMONT AVENUE,206,BRONX
1152 2 AVENUE,108,MANHATTAN
30 THOMPSON STREET,102,MANHATTAN
76 WEST  170 STREET,204,BRONX
908 BERGEN STREET,308,BROOKLYN
32 THOMPSON STREET,102,MANHATTAN
1112 38 STREET,312,BROOKLYN
443 EAST 162 STREET,203,BRONX
36-31 31 STREET,401,QUEENS
100 FAIRVIEW AVENUE,112,MANHATTAN
308 EAST  106 STREET,111,MANHATTAN
1349 COMMONWEALTH AVENUE,NA,BRONX
9-28 MAIN AVENUE,401,QUEENS
821 WILLOUGHBY AVENUE,303,BROOKLYN
355 GRAND STREET,103,MANHATTAN
29 WYTHE AVENUE,301,BROOKLYN
249 EVERGREEN AVENUE,304,BROOKLYN
2718 FULTON STREET,305,BROOKLYN
300 EAST 41 STREET,106,MANHATTAN
2969 CONEY ISLAND AVENUE,315,BROOKLYN
44-36 DOUGLASTON PARKWAY,411,QUEENS
291 EAST 161 STREET,204,BRONX
556 BERGEN AVENUE,201,BRONX
2322 WEST    7 STREET,313,BROOKLYN
145 WOLCOTT STREET,306,BROOKLYN
816 58 STREET,312,BROOKLYN
571 CLASSON AVENUE,303,BROOKLYN
4435 WHITE PLAINS ROAD,212,BRONX
82 4 AVENUE,302,BROOKLYN
126-40 NORTHERN BOULEVARD,407,QUEENS
1514 1 AVENUE,108,MANHATTAN
197 9 STREET,306,BROOKLYN
15 HUDSON AVENUE,302,BROOKLYN
419 9 AVENUE,104,MANHATTAN
1259 BEDFORD AVENUE,303,BROOKLYN
162 COVERT STREET,304,BROOKLYN
45-07 COURT SQUARE,402,QUEENS
822 59 STREET,312,BROOKLYN
229 WITHERS STREET,301,BROOKLYN
2017 GRAND CONCOURSE,205,BRONX
233 TOMPKINS AVENUE,303,BROOKLYN
352 WALLABOUT STREET,301,BROOKLYN
8-29 ASTORIA BOULEVARD,401,QUEENS
31-27 CRESCENT STREET,401,QUEENS
124-10 ROCKAWAY BOULEVARD,410,QUEENS
2320 CONEY ISLAND AVENUE,315,BROOKLYN
10 WEST 55 STREET,105,MANHATTAN
650 EAST    6 STREET,103,MANHATTAN
13-01 NAMEOKE AVENUE,414,QUEENS
3165 VILLA AVENUE,207,BRONX
79 ELDRIDGE STREET,103,MANHATTAN
779 BURKE AVENUE,212,BRONX
323 EAST 61 STREET,108,MANHATTAN
141-15 CHERRY AVENUE,407,QUEENS
1113 LEXINGTON AVENUE,108,MANHATTAN
714 39 STREET,NA,BROOKLYN
651 JEFFERSON PLACE,203,BRONX
10-20 BORDEN AVENUE,402,QUEENS
664 KOSCIUSZKO STREET,304,BROOKLYN
121 EAST   27 STREET,105,MANHATTAN
2187 RYER AVENUE,NA,BRONX
185 EAST  109 STREET,111,MANHATTAN
1256 38 STREET,NA,BROOKLYN
1656 42 STREET,312,BROOKLYN
581 AUSTIN PLACE,202,BRONX
160 VAN CORTLANDT PARK SOUTH,208,BRONX
38-15 9 STREET,401,QUEENS
261 PROSPECT AVENUE,307,BROOKLYN
587 GERARD AVENUE,204,BRONX
2481 CROTONA AVENUE,206,BRONX
254 ECHO PLACE,205,BRONX
52 4 AVENUE,302,BROOKLYN
1850 JEROME AVENUE,205,BRONX
205 EAST 110 STREET,111,MANHATTAN
148 BEACH 116 STREET,414,QUEENS
40 WEST 29 STREET,105,MANHATTAN
582 EAST 138 STREET,201,BRONX
38-04 11 STREET,401,QUEENS
16 EAST 204 STREET,207,BRONX
144-14 38 AVENUE,407,QUEENS
1374 42 STREET,312,BROOKLYN
1701 ANTHONY AVENUE,204,BRONX
342 WALLABOUT STREET,301,BROOKLYN
238 EAST   52 STREET,317,BROOKLYN
36 WEST 66 STREET,107,MANHATTAN
565 FULTON STREET,302,BROOKLYN
647 BALTIC STREET,306,BROOKLYN
144 WEST  125 STREET,110,MANHATTAN
150-19 BARCLAY AVENUE,407,QUEENS
