"address","c_b_no","Borough"
"1201 PRESIDENT STREET","309","BROOKLYN"
"9 CHAPEL STREET","302","BROOKLYN"
"158 SOMERS STREET","316","BROOKLYN"
"413 9 AVENUE","104","MANHATTAN"
"38 CHRISTOPHER AVENUE","316","BROOKLYN"
"1084 OGDEN AVENUE","204","BRONX"
"5702 AVENUE N","318","BROOKLYN"
"4910 14 AVENUE","312","BROOKLYN"
"110 BOERUM PLACE","302","BROOKLYN"
"83 GATEWAY DRIVE","305","BROOKLYN"
"155 WITHERS STREET","301","BROOKLYN"
"1522 NEW YORK AVENUE","317","BROOKLYN"
"33 KINGSTON AVENUE","303","BROOKLYN"
"85-14 57 AVENUE","404","QUEENS"
"24 BARTLETT STREET","301","BROOKLYN"
"88 SCHERMERHORN STREET","302","BROOKLYN"
"5712 7 AVENUE","307","BROOKLYN"
"216 6 AVENUE","NA","BROOKLYN"
"101 EAST 150 STREET","204","BRONX"
"3041 WEBSTER AVENUE","207","BRONX"
"33-29 PRINCE STREET","407","QUEENS"
"509 WEST  167 STREET","112","MANHATTAN"
"75 CANAL STREET WEST","201","BRONX"
"231 BOWERY","NA","MANHATTAN"
"1091 AMSTERDAM AVENUE","109","MANHATTAN"
"131 DEVOE STREET","301","BROOKLYN"
"78 HARMAN STREET","304","BROOKLYN"
"86-15 QUEENS BOULEVARD","404","QUEENS"
"435 WILSON AVENUE","304","BROOKLYN"
"2833 BRIGHTON    3 STREET","313","BROOKLYN"
"173 CHRYSTIE STREET","103","MANHATTAN"
"94 HOWARD AVENUE","303","BROOKLYN"
"2925 AVENUE N","314","BROOKLYN"
"2520 FOSTER AVENUE","NA","BROOKLYN"
"262 55 STREET","307","BROOKLYN"
"1769 JEROME AVENUE","205","BRONX"
"1697 MONROE AVENUE","204","BRONX"
"4452 BROADWAY","112","MANHATTAN"
"45-02 QUEENS BOULEVARD","402","QUEENS"
"1008 BANNER AVENUE","315","BROOKLYN"
"1690 WEEKS AVENUE","204","BRONX"
"182-11 150 ROAD","413","QUEENS"
"215A LEE AVENUE","301","BROOKLYN"
"56-10 VAN CLEEF STREET","404","QUEENS"
"2040 RICHMOND TERRACE","501","STATEN ISLAND"
"12-16 30 AVENUE","401","QUEENS"
"110 THATFORD AVENUE","316","BROOKLYN"
"36 WEST   66 STREET","107","MANHATTAN"
"65-10 60 PLACE","405","QUEENS"
"1346 PACIFIC STREET","308","BROOKLYN"
"162 26 STREET","307","BROOKLYN"
"1569 FLATBUSH AVENUE","314","BROOKLYN"
"84 PROSPECT STREET","501","STATEN ISLAND"
"150-28 LIBERTY AVENUE","412","QUEENS"
"111 WILLOUGHBY STREET","302","BROOKLYN"
"543 EAST  181 STREET","206","BRONX"
"3029 WEST   23 STREET","313","BROOKLYN"
"2131 HYLAN BOULEVARD","502","STATEN ISLAND"
"1906 OCEAN AVENUE","314","BROOKLYN"
"207 EAST 34 STREET","106","MANHATTAN"
"11-32 31 AVENUE","401","QUEENS"
"5-22 49 AVENUE","402","QUEENS"
"1023 SUMMIT AVENUE","204","BRONX"
"38-47 9 STREET","401","QUEENS"
"225 14 STREET","306","BROOKLYN"
"93 GATEWAY DRIVE","305","BROOKLYN"
"348A DEISIUS STREET","503","STATEN ISLAND"
"5 PLATT STREET","101","MANHATTAN"
"295 EAST 161 STREET","204","BRONX"
"857 LAFAYETTE AVENUE","303","BROOKLYN"
"14-45 29 AVENUE","401","QUEENS"
"342 MELROSE STREET","304","BROOKLYN"
"3073 VILLA AVENUE","207","BRONX"
"1031 GRAND STREET","301","BROOKLYN"
"684 DEAN STREET","308","BROOKLYN"
"1614 SUMMERFIELD STREET","405","QUEENS"
"143-58 38 AVENUE","407","QUEENS"
"1834 3 AVENUE","111","MANHATTAN"
"24 RICHARDSON STREET","301","BROOKLYN"
"211 EAST 34 STREET","106","MANHATTAN"
"56-09 56 TERRACE","402","QUEENS"
"164 METROPOLITAN AVENUE","301","BROOKLYN"
"169 SKILLMAN AVENUE","301","BROOKLYN"
"11 WEIRFIELD STREET","304","BROOKLYN"
"1345 3 AVENUE","108","MANHATTAN"
"4601 8 AVENUE","312","BROOKLYN"
"45-36 PEARSON STREET","402","QUEENS"
"22-09 QUEENS PLAZA NORTH","401","QUEENS"
"29-10 NORTHERN BOULEVARD","NA","QUEENS"
"103 KING STREET","306","BROOKLYN"
"416 EAST  143 STREET","201","BRONX"
"79 SOUTH    2 STREET","301","BROOKLYN"
"22-09 QUEENS PLAZA NORTH","401","QUEENS"
"33 PORT RICHMOND AVENUE","501","STATEN ISLAND"
"122 LEXINGTON AVENUE","105","MANHATTAN"
"53 SHEFFIELD AVENUE","305","BROOKLYN"
"2185 MORRIS AVENUE","205","BRONX"
"41 GRAHAM AVENUE","301","BROOKLYN"
"19-15 NAMEOKE AVENUE","414","QUEENS"
"501 GRAND STREET","301","BROOKLYN"
"1341 VIELE AVENUE","202","BRONX"
"101-07 91 STREET","409","QUEENS"
"5722 7 AVENUE","307","BROOKLYN"
"2741 CRESTON AVENUE","207","BRONX"
"1578 LEXINGTON AVENUE","111","MANHATTAN"
"129-24 MERRICK BOULEVARD","412","QUEENS"
"429 2 AVENUE","NA","MANHATTAN"
"138-18 NORTHERN BOULEVARD","407","QUEENS"
"666 MINNIEFORD AVENUE","210","BRONX"
"94 EAST  208 STREET","207","BRONX"
"99 DUMONT AVENUE","316","BROOKLYN"
"1342 COLLEGE AVENUE","204","BRONX"
"45-07 23 STREET","402","QUEENS"
"169 LEXINGTON AVENUE","106","MANHATTAN"
"97-44 64 AVENUE","406","QUEENS"
"6125 7 AVENUE","NA","BROOKLYN"
"18 FULTON STREET","101","MANHATTAN"
"1593 2 AVENUE","108","MANHATTAN"
"1448 FULTON STREET","303","BROOKLYN"
"3080 DECATUR AVENUE","207","BRONX"
"160-44 79 AVENUE","408","QUEENS"
"1665 STILLWELL AVENUE","311","BROOKLYN"
"145 3 STREET","306","BROOKLYN"
"5222 14 AVENUE","NA","BROOKLYN"
"37-28 104 STREET","403","QUEENS"
"2112 AVENUE P","315","BROOKLYN"
"536 WALES AVENUE","201","BRONX"
"176 CHRISTOPHER STREET","102","MANHATTAN"
"2030 MORRIS AVENUE","205","BRONX"
"184 WEST STREET","301","BROOKLYN"
"960 KELLY STREET","202","BRONX"
"201 VERONICA PLACE","317","BROOKLYN"
"70 20 STREET","307","BROOKLYN"
"2840 ATLANTIC AVENUE","305","BROOKLYN"
"180 PARK ROW","103","MANHATTAN"
"136 AINSLIE STREET","301","BROOKLYN"
"1745 LINDEN BOULEVARD","305","BROOKLYN"
"540 WEST 163 STREET","112","MANHATTAN"
"1 TEST STREET","101","MANHATTAN"
"809 ATLANTIC AVENUE","302","BROOKLYN"
"42-07 BELL BOULEVARD","411","QUEENS"
"1345 3 AVENUE","108","MANHATTAN"
"182 EAST  123 STREET","111","MANHATTAN"
"55 DUPONT STREET","301","BROOKLYN"
"1333 PROSPECT PLACE","308","BROOKLYN"
"96-47 CORONA AVENUE","404","QUEENS"
"1634 FLATBUSH AVENUE","314","BROOKLYN"
"1407 BROADWAY","304","BROOKLYN"
"281 MOTHER GASTON BOULEVARD","316","BROOKLYN"
"63 STANHOPE STREET","304","BROOKLYN"
"614 WEST 125 STREET","109","MANHATTAN"
"1232 BROOKLYN AVENUE","317","BROOKLYN"
"1665 SHEEPSHEAD BAY ROAD","315","BROOKLYN"
"56-10 VAN CLEEF STREET","404","QUEENS"
"523 WEST 29 STREET","104","MANHATTAN"
"189 EAST  205 STREET","207","BRONX"
"1015 EAST GUN HILL ROAD","212","BRONX"
"724 ELTON AVENUE","201","BRONX"
"366 LEONARD STREET","301","BROOKLYN"
"1718 PRESIDENT STREET","309","BROOKLYN"
"749 BANK STREET","318","BROOKLYN"
"2274 MORRIS AVENUE","205","BRONX"
"166-13 91 AVENUE","412","QUEENS"
"2615 FRONT FARRAGUT ROAD","314","BROOKLYN"
"1010 WASHINGTON AVENUE","203","BRONX"
"358 MALCOLM X BOULEVARD","303","BROOKLYN"
"162 BAY   29 STREET","311","BROOKLYN"
"2602 PITKIN AVENUE","305","BROOKLYN"
"156 BAY   29 STREET","311","BROOKLYN"
"258 WEST  154 STREET","110","MANHATTAN"
"64-34 175 STREET","408","QUEENS"
"266 WEST 154 STREET","110","MANHATTAN"
"1333 PROSPECT PLACE","308","BROOKLYN"
"11-24 31 DRIVE","401","QUEENS"
"31-35 137 STREET","407","QUEENS"
"186 30 STREET","307","BROOKLYN"
"1 PUTNAM AVENUE","302","BROOKLYN"
"216 20 STREET","NA","BROOKLYN"
"323 8 AVENUE","104","MANHATTAN"
"646 WEST  158 STREET","112","MANHATTAN"
"71 QUINCY STREET","303","BROOKLYN"
"254 EUCLID AVENUE","NA","BROOKLYN"
"382 EAST  159 STREET","201","BRONX"
"64 UNIVERSITY PLACE","102","MANHATTAN"
"2092 GRAND CONCOURSE","205","BRONX"
"671 TINTON AVENUE","201","BRONX"
"331 BEACH   35 STREET","414","QUEENS"
"183 CHRYSTIE STREET","103","MANHATTAN"
"167 MC GUINNESS BOULEVARD","301","BROOKLYN"
"638 WEST  158 STREET","112","MANHATTAN"
"642 WEST  158 STREET","112","MANHATTAN"
"323 BERGEN STREET","302","BROOKLYN"
"16 DUPONT STREET","301","BROOKLYN"
"3507 ATLANTIC AVENUE","305","BROOKLYN"
"167 MC GUINNESS BOULEVARD","301","BROOKLYN"
"728 AUTUMN AVENUE","305","BROOKLYN"
"640 WEST  158 STREET","112","MANHATTAN"
"167 MC GUINNESS BOULEVARD","301","BROOKLYN"
"644 WEST  158 STREET","112","MANHATTAN"
"575 PARK PLACE","308","BROOKLYN"
"64 UNIVERSITY PLACE","102","MANHATTAN"
"439 WEST   36 STREET","104","MANHATTAN"
"679 MARCY AVENUE","303","BROOKLYN"
"56 QUINCY STREET","303","BROOKLYN"
"32 COOPER SQUARE","102","MANHATTAN"
"2410 LORILLARD PLACE","206","BRONX"
"849 CROTONA PARK NORTH","206","BRONX"
"130 HURON STREET","301","BROOKLYN"
"729 EAST  216 STREET","212","BRONX"
"1405 BOSTON ROAD","NA","BRONX"
"827 STERLING PLACE","NA","BROOKLYN"
"2080 CRUGER AVENUE","211","BRONX"
"369 MANHATTAN AVENUE","301","BROOKLYN"
"104-12 LEFFERTS BOULEVARD","410","QUEENS"
"134 JANE STREET","102","MANHATTAN"
"138 BRUCKNER BOULEVARD","201","BRONX"
"47-12 102 STREET","404","QUEENS"
"323 JACKSON AVENUE","201","BRONX"
"447 FENIMORE STREET","309","BROOKLYN"
"28-10 WHITESTONE EXPRESSWAY","407","QUEENS"
"203 SUTTER AVENUE","316","BROOKLYN"
"335 8 AVENUE","104","MANHATTAN"
"1847 SEWARD AVENUE","NA","BRONX"
"951 BEDFORD AVENUE","NA","BROOKLYN"
"136 CENTRAL AVENUE","NA","STATEN ISLAND"
"1841 SEWARD AVENUE","NA","BRONX"
"142 BAY STREET","NA","STATEN ISLAND"
"331 FENIMORE STREET","309","BROOKLYN"
"1057 ATLANTIC AVENUE","303","BROOKLYN"
"3509 FARRAGUT ROAD","317","BROOKLYN"
"203 SUTTER AVENUE","316","BROOKLYN"
"265 20 STREET","NA","BROOKLYN"
"258 SAINT JAMES PLACE","302","BROOKLYN"
"2164 DEAN STREET","316","BROOKLYN"
"1843 SEWARD AVENUE","NA","BRONX"
"360 WEST   52 STREET","NA","MANHATTAN"
"89 DEKALB AVENUE","302","BROOKLYN"
"16 DUPONT STREET","301","BROOKLYN"
"510 GATES AVENUE","303","BROOKLYN"
"975 NOSTRAND AVENUE","NA","BROOKLYN"
"3511 FARRAGUT ROAD","317","BROOKLYN"
"7 PLATT STREET","101","MANHATTAN"
"240 WEST  123 STREET","110","MANHATTAN"
"405 WEST  206 STREET","112","MANHATTAN"
"143-26 84 ROAD","408","QUEENS"
"1100 LEGGETT AVENUE","202","BRONX"
"1038 BROADWAY","303","BROOKLYN"
"136-15 38 AVENUE","407","QUEENS"
"165-15 88 AVENUE","NA","QUEENS"
"4720 3 AVENUE","206","BRONX"
"4720 3 AVENUE","206","BRONX"
"325 BOND STREET","306","BROOKLYN"
"314 FENIMORE STREET","309","BROOKLYN"
"395 CARROLL STREET","306","BROOKLYN"
"13-19 37 AVENUE","401","QUEENS"
"2066 58 STREET","312","BROOKLYN"
"61 METROPOLITAN AVENUE","301","BROOKLYN"
"310 FENIMORE STREET","309","BROOKLYN"
"188 AINSLIE STREET","301","BROOKLYN"
"570 FULTON STREET","NA","BROOKLYN"
"205 JAVA STREET","NA","BROOKLYN"
"104 FROST STREET","301","BROOKLYN"
"29 WEST  128 STREET","NA","MANHATTAN"
"3095 WEBSTER AVENUE","207","BRONX"
"312 FENIMORE STREET","309","BROOKLYN"
"443 EAST  165 STREET","203","BRONX"
"74 JACKSON STREET","NA","BROOKLYN"
"335 BOND STREET","306","BROOKLYN"
"536 BAINBRIDGE STREET","NA","BROOKLYN"
"390 MANHATTAN AVENUE","301","BROOKLYN"
"29-10 21 STREET","NA","QUEENS"
"140-18 CHERRY AVENUE","407","QUEENS"
"163-16 89 AVENUE","NA","QUEENS"
"1229 EASTERN PARKWAY","308","BROOKLYN"
"415 MADISON AVENUE","105","MANHATTAN"
"604 EAST 40 STREET","NA","BROOKLYN"
"1751 MONROE AVENUE","205","BRONX"
"1695 MONROE AVENUE","204","BRONX"
"146-18 LIBERTY AVENUE","NA","QUEENS"
"1001 WHITLOCK AVENUE","NA","BRONX"
"1824 ANTHONY AVENUE","205","BRONX"
"52-04 83 STREET","404","QUEENS"
"2702 CRESTON AVENUE","207","BRONX"
"2033 5 AVENUE","111","MANHATTAN"
"231 BOWERY","103","MANHATTAN"
"2023 5 AVENUE","111","MANHATTAN"
"2033 5 AVENUE","111","MANHATTAN"
"42-78 65 PLACE","402","QUEENS"
"195 HUMBOLDT STREET","301","BROOKLYN"
"989 6 AVENUE","105","MANHATTAN"
"25 STEWART AVENUE","NA","BROOKLYN"
"2435 PACIFIC STREET","316","BROOKLYN"
"687A HANCOCK STREET","303","BROOKLYN"
"32 BUSHWICK AVENUE","301","BROOKLYN"
"790 ALLERTON AVENUE","211","BRONX"
"4012 FORT HAMILTON PARKWAY","NA","BROOKLYN"
"360 CRESCENT STREET","305","BROOKLYN"
"40-54 JUNCTION BOULEVARD","404","QUEENS"
"2605 SNYDER AVENUE","317","BROOKLYN"
"1504 AVENUE L","314","BROOKLYN"
"544 CARROLL STREET","306","BROOKLYN"
"975 WASHINGTON AVENUE","203","BRONX"
"1 TEST STREET","101","MANHATTAN"
"263 PORT RICHMOND AVENUE","501","STATEN ISLAND"
"141-05 NORTHERN BOULEVARD","407","QUEENS"
"153 - 33 89 AVENUE","NA","QUEENS"
"847 NEW LOTS AVENUE","305","BROOKLYN"
"1940 SHORE PARKWAY","313","BROOKLYN"
"4650 BROADWAY","112","MANHATTAN"
"766 DEAN STREET","308","BROOKLYN"
"1054 41 STREET","NA","BROOKLYN"
"844 FAILE STREET","202","BRONX"
"131-28 40 ROAD","407","QUEENS"
"1647 POPHAM AVENUE","205","BRONX"
"2026 HONEYWELL AVENUE","206","BRONX"
"203 MAUJER STREET","301","BROOKLYN"
"25-30 124 STREET","407","QUEENS"
"35-05 48 AVENUE","402","QUEENS"
"237 MCGUINNESS BOULEVARD","301","BROOKLYN"
"129 3 STREET","306","BROOKLYN"
"431 WEST   37 STREET","104","MANHATTAN"
"1970 CROTONA AVENUE","206","BRONX"
"31-61 VERNON BOULEVARD","401","QUEENS"
"2716 CORTELYOU ROAD","317","BROOKLYN"
"128 WOODPOINT ROAD","301","BROOKLYN"
"1252 38 STREET","312","BROOKLYN"
"779 BURKE AVENUE","212","BRONX"
"83-07 QUEENS BOULEVARD","404","QUEENS"
"90-39 83 AVENUE","406","QUEENS"
"2201 BEVERLY ROAD","314","BROOKLYN"
"215 WEST   84 STREET","107","MANHATTAN"
"350 EAST 18 STREET","106","MANHATTAN"
"350 EAST 18 STREET","106","MANHATTAN"
"170 FREEMAN STREET","301","BROOKLYN"
"350 EAST 18 STREET","106","MANHATTAN"
"1042 ATLANTIC AVENUE","308","BROOKLYN"
"79 SOUTH    2 STREET","301","BROOKLYN"
"129 MC DONALD AVENUE","NA","BROOKLYN"
"1415 52 STREET","312","BROOKLYN"
"1514 60 STREET","NA","BROOKLYN"
"140-66 34 AVENUE","407","QUEENS"
"1042 ATLANTIC AVENUE","308","BROOKLYN"
"1652 EAST 14 STREET","315","BROOKLYN"
"1298 INWOOD AVENUE","NA","BRONX"
"632 METROPOLITAN AVENUE","NA","BROOKLYN"
"2366 BEDFORD AVENUE","314","BROOKLYN"
"350 EAST 18 STREET","106","MANHATTAN"
"31-48 CRESCENT STREET","NA","QUEENS"
"77 WOODBINE STREET","NA","BROOKLYN"
"62 MARTENSE STREET","314","BROOKLYN"
"2363 BEDFORD AVENUE","317","BROOKLYN"
"99 LOTT AVENUE","NA","BROOKLYN"
"1367 EASTERN PARKWAY","308","BROOKLYN"
"86-05 BRITTON AVENUE","NA","QUEENS"
"97 4 AVENUE","306","BROOKLYN"
"11-27 FOAM PLACE","414","QUEENS"
"7608 4 AVENUE","310","BROOKLYN"
"101 LOTT AVENUE","NA","BROOKLYN"
"158 LOTT STREET","317","BROOKLYN"
"52 EAST  126 STREET","111","MANHATTAN"
"308 14 STREET","306","BROOKLYN"
"593 EAST 17 STREET","314","BROOKLYN"
"201 25 STREET","307","BROOKLYN"
"271 EAST 28 STREET","317","BROOKLYN"
"3510 GLENWOOD ROAD","317","BROOKLYN"
"58-01 QUEENS BOULEVARD","402","QUEENS"
"711 FRANKLIN AVENUE","308","BROOKLYN"
"1619 SHEEPSHEAD BAY ROAD","315","BROOKLYN"
"905 GRAND STREET","301","BROOKLYN"
"215 HANCOCK STREET","303","BROOKLYN"
"420 WALLABOUT STREET","301","BROOKLYN"
"1351 JEROME AVENUE","204","BRONX"
"113 EAST  184 STREET","205","BRONX"
"2263 NOSTRAND AVENUE","314","BROOKLYN"
"68-19 WOODHAVEN BOULEVARD","406","QUEENS"
"161 LENOX ROAD","317","BROOKLYN"
"2255 NOSTRAND AVENUE","314","BROOKLYN"
"68-19 WOODHAVEN BOULEVARD","406","QUEENS"
"139-45 35 AVENUE","407","QUEENS"
"120 EAST  144 STREET","201","BRONX"
"206 DITMAS AVENUE","312","BROOKLYN"
"4818 19 AVENUE","312","BROOKLYN"
"149-16 14 AVENUE","407","QUEENS"
"130 EAST  165 STREET","204","BRONX"
"1663 EAST NEW YORK AVENUE","316","BROOKLYN"
"120 EAST  144 STREET","201","BRONX"
"110-06 QUEENS BOULEVARD","406","QUEENS"
"149-16 14 AVENUE","NA","QUEENS"
"68 CLINTON AVENUE","302","BROOKLYN"
"300 EAST   50 STREET","106","MANHATTAN"
"1366 EAST NEW YORK AVENUE","316","BROOKLYN"
"126 SANFORD STREET","303","BROOKLYN"
"498 SACKETT STREET","306","BROOKLYN"
"525 6 AVENUE","NA","MANHATTAN"
"488 DEGRAW STREET","306","BROOKLYN"
"182 SPRING STREET","102","MANHATTAN"
"97 GLENMORE AVENUE","316","BROOKLYN"
"111 WILLOUGHBY STREET","302","BROOKLYN"
"499 PRESIDENT STREET","306","BROOKLYN"
"15 PARKVILLE AVENUE","312","BROOKLYN"
"97-10 SUTPHIN BOULEVARD","NA","QUEENS"
"367 13 STREET","306","BROOKLYN"
"1469 3 AVENUE","108","MANHATTAN"
"200 EAST 83 STREET","108","MANHATTAN"
"1469 3 AVENUE","108","MANHATTAN"
"1465 3 AVENUE","108","MANHATTAN"
"1465 3 AVENUE","108","MANHATTAN"
"648 WEST   48 STREET","104","MANHATTAN"
"91-15 101 AVENUE","409","QUEENS"
"37-18 BROADWAY","401","QUEENS"
"170 WEST  225 STREET","208","MANHATTAN"
"29 3 AVENUE","103","MANHATTAN"
"32 INDIA STREET","301","BROOKLYN"
"334 EAST  176 STREET","NA","BRONX"
"618 EAST   31 STREET","317","BROOKLYN"
"1017 OLMSTEAD AVENUE","NA","BRONX"
"2071 RYER AVENUE","205","BRONX"
"71 PRINCE STREET","302","BROOKLYN"
"1010 BUSHWICK AVENUE","304","BROOKLYN"
"2070 CHATTERTON AVENUE","NA","BRONX"
"3991 SAXON AVENUE","NA","BRONX"
"659 FLUSHING AVENUE","301","BROOKLYN"
"25-63 36 STREET","401","QUEENS"
"168 4 AVENUE","NA","BROOKLYN"
"51-19 BEACH CHANNEL DRIVE","414","QUEENS"
"1440 AMSTERDAM AVENUE","109","MANHATTAN"
