"address","c_b_no","Borough"
"129-21 101 AVENUE","409","QUEENS"
"1 EVENTS PLAZA","206","BRONX"
"2916 SHELL ROAD","313","BROOKLYN"
"585 UNION STREET","306","BROOKLYN"
"494 MANHATTAN AVENUE","301","BROOKLYN"
"46-11 QUEENS BOULEVARD","NA","QUEENS"
"209 EAST   55 STREET","317","BROOKLYN"
"178 MT EDEN PARKWAY","204","BRONX"
"1024 MANHATTAN AVENUE","301","BROOKLYN"
"457 FULTON STREET","302","BROOKLYN"
"824 60 STREET","312","BROOKLYN"
"1330 CLINTON AVENUE","203","BRONX"
"18 INDIA STREET","301","BROOKLYN"
"1773 WEEKS AVENUE","205","BRONX"
"29 JAY STREET","302","BROOKLYN"
"636 HANCOCK STREET","303","BROOKLYN"
"142 HURON STREET","301","BROOKLYN"
"149 QUINCY STREET","303","BROOKLYN"
"3831 CARPENTER AVENUE","212","BRONX"
"214 SKILLMAN STREET","303","BROOKLYN"
"3217 WESTCHESTER AVENUE","210","BRONX"
"1446 BRYANT AVENUE","203","BRONX"
"230 BOERUM STREET","301","BROOKLYN"
"186 LENOX AVENUE","110","MANHATTAN"
"431 MELROSE STREET","304","BROOKLYN"
"483 CLINTON AVENUE","302","BROOKLYN"
"116-13 SUTPHIN BOULEVARD","412","QUEENS"
"115 EAST 55 STREET","105","MANHATTAN"
"604 BEECH TERRACE","201","BRONX"
"38 EAST 2 STREET","103","MANHATTAN"
"54 CROWN STREET","309","BROOKLYN"
"422 WEST 49 STREET","104","MANHATTAN"
"20 WEST 57 STREET","105","MANHATTAN"
"2337 2 AVENUE","111","MANHATTAN"
"228 VANDERBILT AVENUE","302","BROOKLYN"
"60 FLATBUSH AVENUE","302","BROOKLYN"
"43-29 BYRD STREET","407","QUEENS"
"2000 KINGS HIGHWAY","315","BROOKLYN"
"96 FLATBUSH AVENUE","302","BROOKLYN"
"330 WALLABOUT STREET","301","BROOKLYN"
"132-55 41 AVENUE","407","QUEENS"
"84-52 GRAND AVENUE","404","QUEENS"
"223 SPENCER STREET","303","BROOKLYN"
"110-27 SUTPHIN BOULEVARD","412","QUEENS"
"152 LENOX ROAD","317","BROOKLYN"
"445 VANDERBILT AVENUE","302","BROOKLYN"
